Date;USD
19/11/2012;2.828947
26/11/2012;2.901316
3/12/2012;2.960526
10/12/2012;2.973684
17/12/2012;3.322368
24/12/2012;3.355263
31/12/2012;3.473684
7/01/2013;3.585526
14/01/2013;3.835526
21/01/2013;4.085526
28/01/2013;4.078948
4/02/2013;3.855263
11/02/2013;3.881579
18/02/2013;3.809211
25/02/2013;3.473684
4/03/2013;3.75
11/03/2013;3.796053
18/03/2013;3.782895
25/03/2013;3.486842
1/04/2013;3.480263
8/04/2013;3.671053
15/04/2013;3.671053
22/04/2013;4.177631
29/04/2013;3.848684
6/05/2013;4.06579
13/05/2013;4.06579
20/05/2013;4.407895
27/05/2013;5.230263
3/06/2013;5.06579
10/06/2013;4.868421
17/06/2013;4.868421
24/06/2013;4.868421
1/07/2013;4.868421
8/07/2013;4.94079
15/07/2013;5.06579
22/07/2013;5.381579
29/07/2013;5.296052
5/08/2013;5.263158
12/08/2013;5.5
19/08/2013;5.394737
26/08/2013;4.94079
2/09/2013;4.94079
9/09/2013;5.427631
16/09/2013;5.526316
23/09/2013;5.302631
30/09/2013;5.493421
7/10/2013;5.69079
14/10/2013;5.460526
21/10/2013;5.460526
28/10/2013;5
4/11/2013;4.973684
11/11/2013;4.973684
18/11/2013;4.973684
25/11/2013;5.06579
2/12/2013;4.93421
9/12/2013;4.736842
16/12/2013;5.06579
23/12/2013;5.342105
30/12/2013;6.151316
6/01/2014;6.039474
13/01/2014;6.611842
20/01/2014;6.631579
27/01/2014;6.585526
3/02/2014;6.605263
10/02/2014;6.546052
17/02/2014;6.93421
24/02/2014;6.973684
3/03/2014;7.342105
10/03/2014;7.039474
17/03/2014;7.269737
24/03/2014;7.43421
31/03/2014;7.822369
7/04/2014;7.894737
14/04/2014;7.927631
21/04/2014;7.828948
28/04/2014;7.986842
5/05/2014;6.730263
12/05/2014;6.480263
19/05/2014;6.671052
26/05/2014;6.81579
2/06/2014;6.973684
9/06/2014;6.907895
16/06/2014;6.822369
23/06/2014;6.644737
30/06/2014;6.907895
7/07/2014;6.618421
14/07/2014;6.967105
21/07/2014;6.921052
28/07/2014;6.31579
4/08/2014;6.032895
11/08/2014;6.44079
18/08/2014;6.328948
25/08/2014;6.480263
1/09/2014;6.55921
8/09/2014;6.710526
15/09/2014;6.598684
22/09/2014;6.68421
29/09/2014;6.151316
6/10/2014;5.723684
13/10/2014;5.986842
20/10/2014;6.25
27/10/2014;7.539474
3/11/2014;7.197369
10/11/2014;8.157895
17/11/2014;8.065789
24/11/2014;8.197369
1/12/2014;8.953947
8/12/2014;7.473684
15/12/2014;7.664474
22/12/2014;7.81579
29/12/2014;7.69079
5/01/2015;7.796052
12/01/2015;7.960526
19/01/2015;8.486842
26/01/2015;8.690789
2/02/2015;8.947369
9/02/2015;9.559211
16/02/2015;10.197369
23/02/2015;10.138158
2/03/2015;10.013158
9/03/2015;10.796053
16/03/2015;10.776316
23/03/2015;10.802631
30/03/2015;10.980263
6/04/2015;10.842105
13/04/2015;10.657895
20/04/2015;10.651316
27/04/2015;9.638158
4/05/2015;9.953947
11/05/2015;10.164474
18/05/2015;10.486842
25/05/2015;10.546053
1/06/2015;10.296053
8/06/2015;10.473684
15/06/2015;9.993421
22/06/2015;10.256579
29/06/2015;9.401316
6/07/2015;9.519737
13/07/2015;10.184211
20/07/2015;9.967105
27/07/2015;10.394737
3/08/2015;10.756579
10/08/2015;10.256579
17/08/2015;9.585526
24/08/2015;9.434211
31/08/2015;8.947369
7/09/2015;9.585526
14/09/2015;9.546053
21/09/2015;8.539474
28/09/2015;9.230263
5/10/2015;10.309211
12/10/2015;10.671053
19/10/2015;10.111842
26/10/2015;9.631579
2/11/2015;9.486842
9/11/2015;8.894737
16/11/2015;9.236842
23/11/2015;9.440789
30/11/2015;9.236842
7/12/2015;8.947369
14/12/2015;9.026316
21/12/2015;9.355263
28/12/2015;9.203947
4/01/2016;12.3010001
11/01/2016;11.342
18/01/2016;11.4749998
25/01/2016;11.017
1/02/2016;10.3500001
8/02/2016;9.5250002
15/02/2016;10.1809998
22/02/2016;10.5459999
29/02/2016;11.7140002
7/03/2016;11.877
14/03/2016;12.3100002
21/03/2016;11.7350002
28/03/2016;11.8349999
4/04/2016;11.3230001
11/04/2016;11.9170001
18/04/2016;12.308
25/04/2016;12.6749998
2/05/2016;12.043
9/05/2016;12.0150002
16/05/2016;11.1429999
23/05/2016;11.118
30/05/2016;11.318
6/06/2016;11.086
13/06/2016;10.9739999
20/06/2016;10.369
27/06/2016;10.388
4/07/2016;10.245
11/07/2016;10.9869999
18/07/2016;11.1519998
25/07/2016;10.9269998
1/08/2016;11.4380001
8/08/2016;11.731
15/08/2016;11.5400002
22/08/2016;11.7540002
29/08/2016;11.56
5/09/2016;11.4900001
12/09/2016;11.0150002
19/09/2016;11.4520001
26/09/2016;11.5869999
3/10/2016;11.8190002
10/10/2016;11.5720001
17/10/2016;11.5599998
24/10/2016;12.4769999
31/10/2016;11.857
7/11/2016;13.0970001
14/11/2016;12.7059998
21/11/2016;13.1779999
28/11/2016;13.039
5/12/2016;14.0980001
12/12/2016;14.6349998
19/12/2016;14.8730002
26/12/2016;14.9339999
2/01/2017;16.3139999
9/01/2017;15.7130002
16/01/2017;16.0449998
23/01/2017;17.2809998
30/01/2017;17.5999997
6/02/2017;17.2720001
13/02/2017;17.9089996
20/02/2017;17.2989996
27/02/2017;17.8469997
6/03/2017;17.4830003
13/03/2017;18.313
20/03/2017;17.9680002
27/03/2017;18.3660001
3/04/2017;17.3089999
10/04/2017;16.7629997
17/04/2017;17.172
24/04/2017;18.8899997
1/05/2017;19.6180003
8/05/2017;19.2829997
15/05/2017;18.8330002
22/05/2017;19.1
29/05/2017;20.0989996
5/06/2017;19.7049997
12/06/2017;19.4129999
19/06/2017;19.758
26/06/2017;19.2319997
3/07/2017;19.6989996
10/07/2017;21.3800002
17/07/2017;21.7519997
24/07/2017;22.5169997
31/07/2017;22.9850002
7/08/2017;22.3680002
14/08/2017;23.7229999
21/08/2017;26.25
28/08/2017;27.5360002
4/09/2017;27.2459991
11/09/2017;27.6650003
18/09/2017;29.2970011
25/09/2017;28.9580003
2/10/2017;28.8599998
9/10/2017;29.2459999
16/10/2017;28.1799988
23/10/2017;28.7089996
30/10/2017;29.893
6/11/2017;28.2259998
13/11/2017;28.2770008
20/11/2017;28.9709999
27/11/2017;27.8370001
4/12/2017;28.1940006
11/12/2017;28.0480007
18/12/2017;29.0940011
25/12/2017;28.3239996
1/01/2018;32.9829997
8/01/2018;35.1739986
15/01/2018;36.0259999
22/01/2018;36.8059989
29/01/2018;35.0139989
5/02/2018;33.5439998
12/02/2018;35.3609997
19/02/2018;34.7859998
26/02/2018;32.1609991
5/03/2018;33.6209999
12/03/2018;33.2740002
19/03/2018;32.0989999
26/03/2018;32.5719997
2/04/2018;34.384999
